"Seller Gstin","Invoice Number","Invoice Date","Transaction Type","Order Id","Shipment Id","Shipment Date","Order Date","Shipment Item Id",Quantity,"Item Description",Asin,Hsn/sac,Sku,"Product Tax Code","Bill From City","Bill From State","Bill From Country","Bill From Postal Code","Ship From City","Ship From State","Ship From Country","Ship From Postal Code","Ship To City","Ship To State","Ship To Country","Ship To Postal Code","Invoice Amount","Tax Exclusive Gross","Total Tax Amount","Cgst Rate","Sgst Rate","Utgst Rate","Igst Rate","Compensatory Cess Rate","Principal Amount","Principal Amount Basis","Cgst Tax","Sgst Tax","Igst Tax","Utgst Tax","Compensatory Cess Tax","Shipping Amount","Shipping Amount Basis","Shipping Cgst Tax","Shipping Sgst Tax","Shipping Utgst Tax","Shipping Igst Tax","Shipping Cess Tax Amount","Gift Wrap Amount","Gift Wrap Amount Basis","Gift Wrap Cgst Tax","Gift Wrap Sgst Tax","Gift Wrap Utgst Tax","Gift Wrap Igst Tax","Gift Wrap Compensatory Cess Tax","Item Promo Discount","Item Promo Discount Basis","Item Promo Tax","Shipping Promo Discount","Shipping Promo Discount Basis","Shipping Promo Tax","Gift Wrap Promo Discount","Gift Wrap Promo Discount Basis","Gift Wrap Promo Tax","Tcs Cgst Rate","Tcs Cgst Amount","Tcs Sgst Rate","Tcs Sgst Amount","Tcs Utgst Rate","Tcs Utgst Amount","Tcs Igst Rate","Tcs Igst Amount","Warehouse Id","Fulfillment Channel","Payment Method Code","Credit Note No","Credit Note Date"
06ABOCS1954R1ZG,IN-246,"2025-08-06 10:08:47",Shipment,406-9791335-0493909,A01105122ESON16L9A82K,"2025-08-06 14:43:21","2025-08-06 10:02:07",494465343686,1,"10  Niacinamide Serum with 1  Zinc PCA  0 5  Bakuchiol  Moringa   Tulsi Extract   Brightening Face Serum for Glowing Skin  Acne Marks  Dark Spots  Pig",B0F66GJN8Y,,X3-Z7YA-42X2,A_GEN_STANDARD,Gurugram,HARYANA,IN,122001,GURUGRAM,HARYANA,IN,122001,BANSWARA,RAJASTHAN,IN,327001,419,355.08,63.92,0,0,0,0.18,0,419,355.08,0,0,63.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,1.78,,MFN,PayStation,,
06ABOCS1954R1ZG,IN-242,"2025-08-05 22:53:40",Shipment,402-3462192-6880314,A100885816L8934Y0JZOS,"2025-08-06 14:43:22","2025-08-05 22:40:30",495176221527,1,"10  Niacinamide Serum with 1  Zinc PCA  0 5  Bakuchiol  Moringa   Tulsi Extract   Brightening Face Serum for Glowing Skin  Acne Marks  Dark Spots  Pig",B0F66GJN8Y,,X3-Z7YA-42X2,A_GEN_STANDARD,Gurugram,HARYANA,IN,122001,GURUGRAM,HARYANA,IN,122001,JAFRABAD,MAHARASHTRA,IN,431206,419,355.08,63.92,0,0,0,0.18,0,419,355.08,0,0,63.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,1.78,,MFN,COD,,
06ABOCS1954R1ZG,IN-240,"2025-08-05 20:51:51",Shipment,404-6987167-6735561,A03134201C3K1HLJ19BML,"2025-08-06 14:43:25","2025-08-05 20:43:25",494222320445,1,"10  Niacinamide Serum with 1  Zinc PCA  0 5  Bakuchiol  Moringa   Tulsi Extract   Brightening Face Serum for Glowing Skin  Acne Marks  Dark Spots  Pig",B0F66GJN8Y,,X3-Z7YA-42X2,A_GEN_STANDARD,Gurugram,HARYANA,IN,122001,GURUGRAM,HARYANA,IN,122001,PAURI,UTTARAKHAND,IN,246174,419,355.08,63.92,0,0,0,0.18,0,419,355.08,0,0,63.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,1.78,,MFN,PayStation,,
06ABOCS1954R1ZG,IN-239,"2025-08-05 15:30:08",Shipment,405-3109128-8758763,A0148711JYZYVOXL6C6N,"2025-08-06 14:43:23","2025-08-05 15:27:06",492896765634,1,"10  Niacinamide Serum with 1  Zinc PCA  0 5  Bakuchiol  Moringa   Tulsi Extract   Brightening Face Serum for Glowing Skin  Acne Marks  Dark Spots  Pig",B0F66GJN8Y,,X3-Z7YA-42X2,A_GEN_STANDARD,Gurugram,HARYANA,IN,122001,GURUGRAM,HARYANA,IN,122001,FARIDABAD,HARYANA,IN,121005,419,355.08,63.92,0.09,0.09,0,0,0,419,355.08,31.96,31.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.89,0.0025,0.89,0,0,0,0,,MFN,COD,,
06ABOCS1954R1ZG,IN-249,"2025-08-06 12:29:45",Shipment,403-0695280-6076346,A00643683MPP9VBDJI9IM,"2025-08-06 14:43:21","2025-08-06 12:14:49",492873279406,1,"Ultra Light Sunscreen SPF 50 PA       Non Greasy  No White Cast   For Oily  Dry   Sensitive Skin   Broad Spectrum UVA UVB Protection   With Niacinamid",B0F64QJJ2M,,S7-EQ0J-9S4C,A_GEN_STANDARD,Gurugram,HARYANA,IN,122001,GURUGRAM,HARYANA,IN,122001,BENGALURU,KARNATAKA,IN,560068,359,304.24,54.76,0,0,0,0.18,0,359,304.24,0,0,54.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,1.52,,MFN,COD,,
06ABOCS1954R1ZG,IN-244,"2025-08-06 05:24:07",Shipment,402-4837821-6805911,A08478121YOZQTR8EQFOF,"2025-08-06 14:43:21","2025-08-06 05:09:51",494077157369,1,"Ultra Light Sunscreen SPF 50 PA       Non Greasy  No White Cast   For Oily  Dry   Sensitive Skin   Broad Spectrum UVA UVB Protection   With Niacinamid",B0F64QJJ2M,,S7-EQ0J-9S4C,A_GEN_STANDARD,Gurugram,HARYANA,IN,122001,GURUGRAM,HARYANA,IN,122001,AGRA,"UTTAR PRADESH",IN,282006,359,304.24,54.76,0,0,0,0.18,0,359,304.24,0,0,54.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,1.52,,MFN,COD,,
06ABOCS1954R1ZG,IN-238,"2025-08-05 14:26:44",Shipment,405-7494761-5380301,A00763773SC6E7NT2SVFY,"2025-08-06 18:19:50","2025-08-05 14:12:54",494239129324,1,"10  Niacinamide Serum with 1  Zinc PCA  0 5  Bakuchiol  Moringa   Tulsi Extract   Brightening Face Serum for Glowing Skin  Acne Marks  Dark Spots  Pig",B0F66GJN8Y,,X3-Z7YA-42X2,A_GEN_STANDARD,Gurugram,HARYANA,IN,122001,GURUGRAM,HARYANA,IN,122001,KOLKATA,"WEST BENGAL",IN,700012,419,355.08,63.92,0,0,0,0.18,0,419,355.08,0,0,63.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,1.78,,MFN,CC,,
06ABOCS1954R1ZG,IN-248,"2025-08-06 12:00:15",Shipment,405-2320297-5857948,A01659741YVBE8GZKGSKJ,"2025-08-06 18:19:46","2025-08-06 12:00:00",492165084872,3,"Ultra Light Sunscreen SPF 50 PA       Non Greasy  No White Cast   For Oily  Dry   Sensitive Skin   Broad Spectrum UVA UVB Protection   With Niacinamid",B0F64QJJ2M,,S7-EQ0J-9S4C,A_GEN_STANDARD,Gurugram,HARYANA,IN,122001,GURUGRAM,HARYANA,IN,122001,"NEW TOWN","WEST BENGAL",IN,700135,1077,912.72,164.28,0,0,0,0.18,0,1077,912.72,0,0,164.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,4.56,,MFN,PayStation,,
06ABOCS1954R1ZG,IN-251,"2025-08-06 14:29:18",Shipment,405-4591485-2277121,A06115111KIAEO9XKMMEY,"2025-08-06 18:19:45","2025-08-06 14:14:27",492135868073,1,"10  Niacinamide Serum with 1  Zinc PCA  0 5  Bakuchiol  Moringa   Tulsi Extract   Brightening Face Serum for Glowing Skin  Acne Marks  Dark Spots  Pig",B0F66GJN8Y,,X3-Z7YA-42X2,A_GEN_STANDARD,Gurugram,HARYANA,IN,122001,GURUGRAM,HARYANA,IN,122001,PUNE,MAHARASHTRA,IN,412307,419,355.08,63.92,0,0,0,0.18,0,419,355.08,0,0,63.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,1.78,,MFN,COD,,
06ABOCS1954R1ZG,IN-258,"2025-08-07 14:03:40",Cancel,404-3147486-1752332,A06349043FJY12SNEO91D,,,494503559292,1,,B0F64QJJ2M,,S7-EQ0J-9S4C,A_GEN_STANDARD,Gurugram,HARYANA,IN,122001,GURUGRAM,HARYANA,IN,122001,GURUGRAM,HARYANA,IN,122004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
